Title,Time,Neighborhood,City,Themes,Link
Archery for All: Tech Week Networking,2025-06-07T10:00:00,Brooklyn,New York City,"HR / Hiring, B2B, Media / Entertainment",https://partiful.com/e/H603KO84RXBm9uftzck9
Immigration & Eggs - Build Breakfast Club,2025-06-05T08:30:00,Chelsea,New York City,"HR / Hiring, International / expansion, B2C / Consumer",https://partiful.com/e/zaVvgSvLZw1FIEJsSWyF
"Scaling Smart: Capital, Tax, Legal, and HR for Startups",2025-06-04T10:00:00,Midtown,New York City,"International / Expansion, Fundraising / Investing, HR / Hiring",https://partiful.com/e/ix5GrCzHz1LiXVopfQp4
Edelman & Tech:NYC New Media & Comms Happy Hour,2025-06-05T17:30:00,SoHo,New York City,"Media / Entertainment, Creators, AI",https://partiful.com/e/ndZdCEnK1nEGZc0Gdggl
Happy Hour - AI-Personalized Bots for Learning,2025-06-05T18:00:00,SoHo,New York City,"AI, Crypto / Web3, Fintech",https://partiful.com/e/cnOTbR7TjxuxsrANUNU1
Founder & Investor Breakfast,2025-06-04T09:00:00,Flatiron,New York City,"Fundraising / Investing, Fintech, AI",https://partiful.com/e/OPde60Fq94pLJpiSAgwz
"Tech for Good: AI, Wellness & Warrior Community",2025-06-05T08:00:00,Upper Manhattan,New York City,"Healthcare / Healthtech, AI, SaaS",https://partiful.com/e/aLeiKjwyNloYKHJsKl4x
Catalyst for Change: Tech Founders Tackling Tough,2025-06-05T15:00:00,Flatiron,New York City,"Healthcare / Healthtech, Climate, Fintech",https://partiful.com/e/8ucVYttCWhhTnSa487ow
Atlassian for Startups,2025-06-05T16:30:00,Union Square,New York City,"SaaS, B2B",https://partiful.com/e/T2bKKysrPhXA5ZqLkdID
People Powered AI: A Hands-On Lab for HR Leaders,2025-06-05T15:00:00,Midtown,New York City,HR / Hiring,https://partiful.com/e/9feLYkLHMeQms1kUzszq
NY AI Founders and Investors Forum,2025-06-03T18:00:00,Midtown,New York City,"AI, SaaS, B2B",Invite Only
Anote / Mindstone AI Meetup,2025-06-04T18:00:00,Midtown,New York City,AI,https://partiful.com/e/Zh8NuBWFrQ6eMoKD80Gs
3D/GenAI content production at scale,2025-06-05T11:00:00,Tribeca,New York City,"AI, Creators, SaaS",Invite Only
Building AI Solutions in Bio and Health,2025-06-02T12:00:00,SoHo,New York City,"AI, Healthcare / Healthtech, Deep Tech",https://partiful.com/e/YyIyG6F2KZMUJvQHJEJJ
Alt Realty,2025-06-04T08:00:00,Upper East Side,New York City,"B2C / Consumer, AI",Invite Only
Salsa Tech Mixer & Social,2025-06-07T19:00:00,Midtown,New York City,"B2B, AI, Fintech",https://partiful.com/e/hwR8wv9xgpJOs0OKDodV
What's Happening in Commerce?,2025-06-05T11:00:00,SoHo,New York City,"B2C / Consumer, Fundraising / Investing, AI",https://partiful.com/e/BzEMGQhEFOts6JzVuJ6A
Memelord Technologies Late-Night Memeathon,2025-06-03T21:00:00,SoHo,New York City,AI,https://partiful.com/e/GsS4C3s7jA2ded0ETfK5
Darkest Comedy Book about Data Privacy & Climate,2025-06-04T17:00:00,Gramercy Park,New York City,"Climate, Media / Entertainment, Cybersecurity, ",Invite Only
Activant Capital Poker Night ,2025-06-05T19:00:00,SoHo,New York City,"AI, B2B, SaaS",https://partiful.com/e/aJrAuNkzyj3ezeGEOo9k
"Founders, Funders & Friends",2025-06-04T19:00:00,Brooklyn,New York City,"AI, Climate, Fundraising / Investing",https://partiful.com/e/u9IlwSLe9VcAFAxf7Hyw
Female Founders and Funders Walk,2025-06-04T15:00:00,Greenwich Village,New York City,"Women-focused, Fundraising / Investing, Healthcare / Healthtech",https://partiful.com/e/Stu37GV30Rxrforgf1kL
